LocationNumber,RSSI,TxLinkSpeed,RxLinkSpeed,MainAPConnect,TxThroughput,AvgPingLatency
2,-72.32,163.11,118.36,1,13.51,51.79
32,-73.18,238.45,212.83,1,3.35,68.8
20,-40.67,865.44,863.39,1,17.62,50.79
10,-60.66,473.89,396.92,1,14.3,64.15
29,-67.96,479.74,355.99,1,4.81,73.81
12,-67.02,364.25,293.37,1,5.49,50.38
19,-46.5,875.29,868.68,1,5.95,47.47
27,-54.49,685.65,471.05,1,17.25,45.43
10,-60.15,452.23,396.29,1,17.63,51.63
16,-53.15,776.54,774.74,1,5.6,48.96
20,-40.82,866.89,845.15,1,14.94,45.79
1,-76.54,171.52,175.91,1,14.8,50.29
20,-39.65,858,868.69,1,12.21,47.73
8,-67.41,335.45,264.91,1,15.35,49.71
11,-61.44,331.94,400.25,1,12.1,47.48
9,-62.1,474.52,475.73,1,5.15,57.08
35,-75.29,176.53,6.16,1,8.32,52.28
6,-67.92,362.5,329.43,1,13.42,48.75
14,-49.27,876.25,761.07,1,15.87,42.67
1,-75.75,157.93,116.11,1,15.74,49.91
34,-71.36,272.83,179.11,0,2.83,55.6
19,-47.56,869.8,883.56,1,6.02,47.99
32,-72.99,245.6,220.73,1,5.1,68.09
29,-68.33,389.47,349.36,1,14.72,52.74
12,-65.83,263.28,244.81,1,15.07,50.92
20,-38.47,880.46,876.79,1,17.22,45.82
12,-66.44,482.82,183.01,1,11.42,49.05
28,-64.11,364.06,411.69,1,2.59,57.67
25,-70.81,249.41,289.04,1,16.71,60.64
19,-47.81,862.85,847.36,1,5.17,53.68
27,-55.55,730.17,655.49,1,15.6,53.25
34,-70.54,268.51,244.98,0,9.1,55.04
13,-55.36,865.34,602.63,1,16.21,51.11
23,-65.96,646.84,657.7,1,3.21,48.43
21,-50.62,862.91,853.4,1,16.03,47.52
18,-54.03,646.26,645.56,1,16.19,61
3,-65.56,369.75,410.03,1,15.97,66.01
32,-73.85,230.59,174.26,1,15.58,79.17
3,-66.1,352.11,379,1,11.82,57.25
31,-76.57,152.98,138.34,1,15.96,69.98
25,-70.99,343.08,242.45,1,12.64,47.94
